name,research_field,topic
Alex Campbell,"IHP - Leibniz-Institut für innovative Mikroelektronik, Frankfurt (Oder)",The Poetics of Precision: Literature and the Microelectronics Industry in Post-Reunification Germany
Dana Reed,"FBN - Forschungsinstitut für Nutztierbiologie, Dummerstorf","Animal Narratives: Biosecurity, Risk, and Affect in Contemporary Agricultural Literature."
Cameron Singh,"AIP - Leibniz Institut für Astrophysik, Potsdam",Poetry and the Cosmos: Exploring Analogies Between Astronomical Phenomena and Poetic Form in the Early Modern Period
Jordan Jain,IOW - Leibniz-Institut für Ostseeforschung Warnemünde an der Universität Rostock,"Narratives of Environmental Change: Marine Ecosystems, Scientific Reporting, and Public Understanding in the Baltic Sea Region."
Morgan Lee,"PDI - Paul-Drude-Institut für Festkörperelektronik, Berlin","The Poetics of Materiality: Nanotechnology, Narrative, and the Anthropocene."
Morgan Adams,"HKI - Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie - Hans-Knöll-Institut, Jena","The Bioactive Potential of Fungal Secondary Metabolites: A Literary and Scientific Exploration of Ethnopharmacology, Biosynthesis, and Narrative."
Avery Flores,"IGZ - Leibniz-Institut für Gemüse- und Zierpflanzenbau, Großbeeren und Erfurt","The Botanical Archive: Horticultural Records, Scientific Discourse, and the Construction of Value in German Vegetable and Ornamental Plant Breeding."
Sam Kumar,"WIAS - Weierstraß-Institut für Angewandte Analysis und Stochastik, Berlin",Computational Narratives and Algorithmic Authorship: Towards a Theory of Literary Emergence.
Reese Thomas,"MfN - Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung, Berlin",Speculative Narratives of Extinction: Literary Ecology and the Museum as Archive
Skyler O'Hara,IFW - Leibniz-Institut für Festkörper- und Werkstoffforschung Dresden,"Material Ecologies: Poetics and Praxis in German Material Science, 1945-Present"
Sydney Davis,"IWT - Leibniz-Institut für Werkstofforientierte Technologien, Bremen","Materiality, Agency, and Affect in Contemporary Technical Literature"
Kris Brooks,"FBN - Forschungsinstitut für Nutztierbiologie, Dummerstorf","Animal Narratives: Affect, Embodiment, and the Posthuman in Livestock Representation."
Riley Jain,"GESIS - Leibniz-Institut für Sozialwissenschaften, Köln, Mannheim, Berlin",Sentiment and the Social: Computational Analysis of Affective Discourse in Post-War German Political Pamphlets.
Bailey Reed,LIAG - Institut für Angewandte Geophysik,"Seismic Narratives: Subsurface Data, Literary Representation, and the Geology of Storytelling."
Skyler Jain,LIAG - Institut für Angewandte Geophysik,"Seismic Narratives: Geophysics, Literature, and the Representation of Earth."
Riley Reed,"GESIS - Leibniz-Institut für Sozialwissenschaften, Köln, Mannheim, Berlin",Algorithmic Bias and Literary Representation: A Computational Analysis of Sentiment and Narrative in 21st-Century Fiction.
Jordan Jain,"GESIS - Leibniz-Institut für Sozialwissenschaften, Köln, Mannheim, Berlin",The Algorithmic Construction of Literary Canons: A Computational Analysis of Reception and Reputation.
Jordan Liu,"GESIS - Leibniz-Institut für Sozialwissenschaften, Köln, Mannheim, Berlin",Sentiment and Social Media: A Computational Analysis of Affective Discourse in German Political Online Communities.
Kris Jain,"FIZ-KA - Leibniz-Institut für Informationsinfrastruktur, Karlsruhe",Data's Echo: Algorithmic Bias and the Construction of Literary Canons in Digital Archives
Dana O'Hara,"ATB - Leibniz-Institut für Agrartechnik und Bioökonomie e.V., Potsdam","Agricultural Narratives: Science, Sustainability, and the Construction of Value at the ATB Potsdam"
Avery Gonzalez,IOW - Leibniz-Institut für Ostseeforschung Warnemünde an der Universität Rostock,"Translation, Mediation, and the Baltic Sea: A Literary and Environmental History."
Dana Jain,MFO - Mathematisches Forschungsinstitut Oberwolfach,"The Algorithmic Uncanny: Formal Systems, Narrative, and the Limits of Computation in 20th and 21st Century Literature."
Robin O'Hara,DRFZ - Deutsches Rheuma-Forschungszentrum Berlin,"Narratives of Pain: Embodiment, Language, and the Construction of Chronic Illness in Medical Discourse"
Taylor Thomas,INP - Leibniz-Institut für Plasmaforschung und Technologie e.V. Greifswald,"Literary Representations of Plasma Technologies: Science, Narrative, and the Anthropocene."
Robin Thomas,"MBI - Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie, Berlin",Spectral Signatures of Ultrafast Molecular Dynamics in Complex Chiral Environments.
Jordan Garcia,"ZAS - Leibniz-Zentrum Allgemeine Sprachwissenschaft, Berlin",The Semantics-Pragmatics Interface in Constructed Languages: A Corpus-Based Investigation.
Sydney Liu,DRFZ - Deutsches Rheuma-Forschungszentrum Berlin,Narrative Medicine and Autoimmune Disease: Exploring Patient Experiences at the DRFZ
Riley O'Hara,"LIR - Leibniz-Institut für Resilienzforschung, Mainz",Resilience and Narrative: Reconstructing Trauma in Post-Socialist German Literature
Skyler Brooks,"HKI - Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie - Hans-Knöll-Institut, Jena",The Microbial Poetics of Secondary Metabolite Biosynthesis: A Literary and Scientific Interrogation
Robin Chen,"FIZ-KA - Leibniz-Institut für Informationsinfrastruktur, Karlsruhe",Computational Textual Analysis of Scientific Discourse in the Leibniz-Institut für Informationsinfrastruktur Archives
Charlie Jain,"GESIS - Leibniz-Institut für Sozialwissenschaften, Köln, Mannheim, Berlin",Sentiment and Social Reproduction: Analyzing Affective Language in Online Parenting Forums.
Charlie Adams,DRFZ - Deutsches Rheuma-Forschungszentrum Berlin,The Rhetoric of Pain: Embodied Experience and Scientific Discourse in Rheumatological Research
Jordan Adams,"DIPF - Deutsches Institut für internationale pädagogische Forschung, Frankfurt am Main und Berlin","Negotiating Authority: Digital Literacies, Multimodal Composition, and the Shifting Landscape of Classroom Discourse."
Morgan Jain,"IZW - Leibniz-Institut für Zoo- und Wildtierforschung, Berlin",Narrative Ecology: Animal Representation and Conservation Discourse in Post-Unification Germany
Robin Flores,MFO - Mathematisches Forschungsinstitut Oberwolfach,The Geometry of Narrative: Algorithmic Poetics and the Spatial Turn in Victorian Literature.
Casey Clark,"ZAS - Leibniz-Zentrum Allgemeine Sprachwissenschaft, Berlin",The Pragmatics of Repair in Multimodal Interaction: A Corpus Study of German Sign Language
Sam Clark,"DIPF - Deutsches Institut für internationale pädagogische Forschung, Frankfurt am Main und Berlin",Negotiating Authority: Multimodal Literacies and Critical Engagement in German Secondary School Classrooms.
Sydney Kumar,"MBI - Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie, Berlin","Spectroscopic Narratives: Entanglement, Time, and the Emergence of Agency in Nonlinear Optics and Contemporary Literature."
Dakota Thomas,"IGZ - Leibniz-Institut für Gemüse- und Zierpflanzenbau, Großbeeren und Erfurt",The Botanical Archive: Cultivating Memory and Labor in Horticultural Records.
Dana Patel,"LIR - Leibniz-Institut für Resilienzforschung, Mainz",Resilience and Narrative: Exploring Affective Labor in German Post-Reunification Literature
Dakota O'Hara,"ZAS - Leibniz-Zentrum Allgemeine Sprachwissenschaft, Berlin",The Semantics of Evidentials in Multimodal Interaction: A Corpus-Driven Approach.
Devon Adams,"ZAS - Leibniz-Zentrum Allgemeine Sprachwissenschaft, Berlin",Agency and Affect in Multimodal Interaction: A Corpus-Based Analysis of German Caregiver-Child Dialogue
Bailey Smith,"ZAS - Leibniz-Zentrum Allgemeine Sprachwissenschaft, Berlin",The Pragmatics of Repair in Multimodal Interaction: A Corpus-Based Study of German Sign Language
Devon Flores,"TIB - Leibniz-Informationszentrum Technik und Naturwissenschaften Universitätsbibliothek, Hannover",The Algorithmic Construction of Scholarly Identity: Analyzing Authorial Branding in Scientific Databases.
Kris Chen,"ZAS - Leibniz-Zentrum Allgemeine Sprachwissenschaft, Berlin",The Emergence of Argumentative Stance in Multimodal Interaction: A Corpus-Based Study of German Online Debates
Kris Lee,"LIN - Leibniz-Institut für Neurobiologie, Magdeburg",Narrative Processing and Predictive Coding: A Neuro-Literary Exploration of Novel Generation in Contemporary Literature.
Morgan Campbell,"GESIS - Leibniz-Institut für Sozialwissenschaften, Köln, Mannheim, Berlin","Sentiment Analysis of Parliamentary Discourse: A Computational and Historical Approach to German Political Culture, 1949-2023"
Riley Clark,"FBN - Forschungsinstitut für Nutztierbiologie, Dummerstorf",Animal Narratives: Exploring Human-Animal Relationships Through Literary and Scientific Discourse in Post-War Germany.
Devon Jain,LIAG - Institut für Angewandte Geophysik,Seismic Narratives: Exploring Subsurface Data and Literary Representation in the Anthropocene.
Reese Smith,"TROPOS - Leibniz-Institut für Troposphärenforschung, Leipzig","The Rhetoric of Atmospheric Data: Science, Uncertainty, and Public Perception in Climate Change Communication"
Morgan Thomas,LIAG - Institut für Angewandte Geophysik,"Seismic Narratives: Ground Motion, Literary Representation, and Environmental Perception in the Anthropocene."
Devon Rivera,"IHP - Leibniz-Institut für innovative Mikroelektronik, Frankfurt (Oder)",Narratives of Automation: Human-Machine Collaboration in Post-Industrial Labor.
Jamie O'Hara,"IHP - Leibniz-Institut für innovative Mikroelektronik, Frankfurt (Oder)",Computational Poetics and Embodied Cognition in Human-Machine Collaboration: A Study of Generative Text and Neuro-Linguistic Programming in Microelectronics Design.
Riley Kumar,"IPHT - Leibniz-Institut für Photonische Technologien, Jena","Photonics and Poetics: Materiality, Representation, and the Emergence of New Literatures in the Age of Laser Technologies."
Avery Singh,"MBI - Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie, Berlin",Spectroscopic Narratives: Unveiling Temporal Dynamics in Scientific Discourse Through Nonlinear Optics and Literary Analysis.
Bailey Lee,"DIPF - Deutsches Institut für internationale pädagogische Forschung, Frankfurt am Main und Berlin",Negotiating Authority: Multimodal Literacies and Critical Engagement in German Secondary English Classrooms.
Charlie Campbell,IOW - Leibniz-Institut für Ostseeforschung Warnemünde an der Universität Rostock,"The Baltic Sea as Archive: Environmental Change, Literary Representation, and the Limits of Knowledge."
Taylor Lee,"ATB - Leibniz-Institut für Agrartechnik und Bioökonomie e.V., Potsdam",Agricultural Narratives: Shaping Perceptions of Innovation and Sustainability in German Agro-Tech Discourse.
Casey Rivera,"FBH - Ferdinand-Braun-Institut, Leibniz-Institut für Höchstfrequenztechnik, Berlin","The Rhetoric of Terahertz Imaging: Science, Spectacle, and the Future of Perception."
Avery Davis,"GESIS - Leibniz-Institut für Sozialwissenschaften, Köln, Mannheim, Berlin",Algorithmic Authority and the Remaking of Literary Criticism: A Computational Analysis of Reception and Canonicity.
Riley Davis,"IAP - Leibniz-Institut für Atmosphärenphysik an der Universität Rostock, Kühlungsborn",Aerosol-Cloud Interactions and Linguistic Representation in Polar Research Narratives
Sam Brooks,"ATB - Leibniz-Institut für Agrartechnik und Bioökonomie e.V., Potsdam",Feeding Futures: Agrarian Literature and the Technological Imagination in Post-War Germany
Dakota Campbell,"WIAS - Weierstraß-Institut für Angewandte Analysis und Stochastik, Berlin",Algorithmic Creativity and the Critique of Computational Literature.
Alex Adams,IFW - Leibniz-Institut für Festkörper- und Werkstoffforschung Dresden,Materiality and Meaning: Poetic Responses to Nanotechnology at IFW Dresden
Taylor Patel,"FBH - Ferdinand-Braun-Institut, Leibniz-Institut für Höchstfrequenztechnik, Berlin","Narrative Technologies of Terahertz Imaging: Perception, Representation, and the Construction of the Invisible."
Taylor Garcia,"IGZ - Leibniz-Institut für Gemüse- und Zierpflanzenbau, Großbeeren und Erfurt","The Botanical Archive: Seeds, Memory, and the Politics of Horticultural Innovation in Germany, 1850-1950"
Avery Kumar,"IAP - Leibniz-Institut für Atmosphärenphysik an der Universität Rostock, Kühlungsborn",Acoustic Signatures of Aeolian Dust Transport: Linking Atmospheric Physics and Linguistic Semantics.
Reese O'Hara,"IKZ - Leibniz Institute für Kristallzüchtung, Berlin","Crystalline Narratives: Materiality, Memory, and the Archive in Contemporary Literature and Scientific Discourse."
Casey Kumar,"TIB - Leibniz-Informationszentrum Technik und Naturwissenschaften Universitätsbibliothek, Hannover","The Algorithmic Construction of Scholarly Identity: Data, Discourse, and Reputation in Online Research Platforms."
Dana Kumar,"ZAS - Leibniz-Zentrum Allgemeine Sprachwissenschaft, Berlin",Negotiating Normativity: Implicit Prescriptions and Variation in German Digital Discourse.
Morgan Thomas,"FIZ-KA - Leibniz-Institut für Informationsinfrastruktur, Karlsruhe","Data Humanities and the Archive: Reconstructing German Literary Networks, 1780-1830"
Jordan Reed,"IKZ - Leibniz Institute für Kristallzüchtung, Berlin","Crystalline Narratives: Materiality, Memory, and the Archive in Contemporary Literature and Scientific Discourse"
Avery Kumar,"IZW - Leibniz-Institut für Zoo- und Wildtierforschung, Berlin",Narrative Ecologies: Animal Agency and Human Storytelling in Berlin's Zoos and Wildlife Research
Charlie Adams,"IVW - Leibniz-Institut für Verbundwerkstoffe, Kaiserslautern",Material Rhetoric: Composite Narratives in Engineering Reports and Scientific Discourse
Skyler Reed,"FBN - Forschungsinstitut für Nutztierbiologie, Dummerstorf","The Rhetoric of Animal Welfare: Scientific Discourse, Public Perception, and the Construction of the Good Farm Animal."
Morgan Patel,"ATB - Leibniz-Institut für Agrartechnik und Bioökonomie e.V., Potsdam","Agricultural Narratives: Science, Technology, and the Construction of the Sustainable Farm in Post-War Germany."
Jordan Davis,LIAG - Institut für Angewandte Geophysik,Seismic Narratives: Mapping Geological Time and Human Experience in Literature and Geophysical Data.
Skyler Patel,"IVW - Leibniz-Institut für Verbundwerkstoffe, Kaiserslautern",Material Rhetorics: Technical Documentation and the Construction of Composite Expertise.
Avery Smith,IFW - Leibniz-Institut für Festkörper- und Werkstoffforschung Dresden,Materiality and Narrative in Post-Industrial Literature: Representations of Advanced Manufacturing and Labor in the Dresden Region
Cameron Smith,INP - Leibniz-Institut für Plasmaforschung und Technologie e.V. Greifswald,"Narrative Plasma: Science, Literature, and the Shaping of Technological Imagination in Post-War Germany"
Casey Jain,DRFZ - Deutsches Rheuma-Forschungszentrum Berlin,"Narratives of Pain: Embodiment, Language, and the Construction of Chronic Illness Experience."
Cameron Adams,"ISAS - Leibniz-Institut für Analytische Wissenschaften, Dortmund/Berlin","The Rhetoric of Scientific Visualization: Data, Narrative, and Authority in ISAS Research."
Reese Patel,"AIP - Leibniz Institut für Astrophysik, Potsdam","Cosmic Narratives: Literary Representations of Astronomical Discovery, 1900-1960"
Sam Chen,"ISAS - Leibniz-Institut für Analytische Wissenschaften, Dortmund/Berlin","The Materiality of Scientific Discourse: Correspondence, Instruments, and the Construction of Chemical Knowledge, 1860-1930"
Alex Chen,"IKZ - Leibniz Institute für Kristallzüchtung, Berlin","Material Narratives: Speculative Fiction, Crystal Growth, and the Anthropocene."
Robin Jain,"FIZ-KA - Leibniz-Institut für Informationsinfrastruktur, Karlsruhe","Data Ecologies of Early Digital Literature: Archives, Algorithms, and the Shaping of Literary History"
Sam Garcia,"IPF - Leibniz Institut für Polymerforschung, Dresden","Material Ecocriticism: Polymers, Waste, and the Anthropocene."
Jordan Flores,"SGN - Senckenberg Gesellschaft für Naturforschung, Frankfurt am Main",The Poetics of Extinction: Human-Animal Relations in Early Modern Natural History.
Casey Brooks,INP - Leibniz-Institut für Plasmaforschung und Technologie e.V. Greifswald,"Narrative Plasma: Science Communication, Literary Representation, and the Shaping of Public Understanding of Fusion Research."
Dakota Jain,"SGN - Senckenberg Gesellschaft für Naturforschung, Frankfurt am Main","The Materiality of Specimen Records: Archival Practices, Scientific Knowledge, and the History of Zoological Collecting at Senckenberg."
Alex O'Hara,"IPHT - Leibniz-Institut für Photonische Technologien, Jena","Narrative Light: Exploring Visualisation, Representation, and Storytelling in Contemporary Photonics Research."
Bailey Kumar,"GESIS - Leibniz-Institut für Sozialwissenschaften, Köln, Mannheim, Berlin","Sentiment and Subjectivity: A Computational Analysis of Affective Discourse in German Social Media Data, 2010-2020"
Jamie Davis,"TIB - Leibniz-Informationszentrum Technik und Naturwissenschaften Universitätsbibliothek, Hannover",The Algorithmic Construction of Authority: Scholarly Databases and the Shaping of Knowledge in the Digital Humanities
Sydney Adams,"IKZ - Leibniz Institute für Kristallzüchtung, Berlin","Crystalline Narratives: Materiality, Memory, and the Archive in Contemporary Literature and Scientific Visualization"
Alex Garcia,"FBH - Ferdinand-Braun-Institut, Leibniz-Institut für Höchstfrequenztechnik, Berlin",The Rhetoric of Scientific Instrumentation: Negotiating Expertise and Authority in Early Millimeter-Wave Research
Sam Gonzalez,"FBH - Ferdinand-Braun-Institut, Leibniz-Institut für Höchstfrequenztechnik, Berlin","The Poetics of Frequency: Signal, Noise, and the Technological Sublime in Post-War German Literature and Media."
Jordan Garcia,PIK - Potsdam-Institut für Klimafolgenforschung,"Narratives of Climate Adaptation: Mediating Risk, Responsibility, and Technological Futures in German Climate Policy Discourse."
Robin Davis,"IHP - Leibniz-Institut für innovative Mikroelektronik, Frankfurt (Oder)","The Poetics of Precision: Language, Automation, and the Human in Microelectronics."
Robin Campbell,"TIB - Leibniz-Informationszentrum Technik und Naturwissenschaften Universitätsbibliothek, Hannover","The Algorithmic Construction of Authority: Scholarly Databases and the Evolution of Citation Practices, 1966-2023"
Taylor Clark,IOW - Leibniz-Institut für Ostseeforschung Warnemünde an der Universität Rostock,"The Poetics of Marine Data: Environmental Monitoring, Scientific Language, and Literary Representation in the Baltic Sea"
Casey Kumar,"IWM - Leibniz-Institut für Wissensmedien, Tübingen",Computational Aesthetics and the Evolution of Digital Storytelling: A Study of Interactive Narrative at IWM
Robin Reed,"WIAS - Weierstraß-Institut für Angewandte Analysis und Stochastik, Berlin",Computational Narratives and Algorithmic Bias: A Literary and Data-Driven Analysis
Skyler O'Hara,"IOM - Leibniz-Institut für Oberflächenmodifizierung, Leipzig",Surface Modification and the Materiality of Language: A Rhetorical Analysis of Nanotechnology Discourse.
Robin Lee,"IKZ - Leibniz Institute für Kristallzüchtung, Berlin","Crystalline Narratives: Materiality, Memory, and the Poetics of Growth in Contemporary Literature and Scientific Discourse"
Reese Liu,"FBN - Forschungsinstitut für Nutztierbiologie, Dummerstorf",Animal Narratives: Exploring Human-Animal Relationships Through Literary and Scientific Discourse at FBN.
Dakota Rivera,IFW - Leibniz-Institut für Festkörper- und Werkstoffforschung Dresden,Materiality and Narrative in Post-Industrial Literature: Representations of Labor and Loss in Dresden
Robin Liu,"IPHT - Leibniz-Institut für Photonische Technologien, Jena","Photonic Materialities: Language, Light, and the Construction of Scientific Expertise at IPHT"
Dakota Adams,"HKI - Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie - Hans-Knöll-Institut, Jena",The Algorithmic Rhizome: Computational Approaches to Bioactive Compound Discovery and Literary Representation in Hans-Knöll-Institut Archives.
Casey Thomas,"IPF - Leibniz Institut für Polymerforschung, Dresden","Polymer Morphology and Literary Form: Materiality, Narrative, and the Postdigital Novel"
Sam Campbell,IOW - Leibniz-Institut für Ostseeforschung Warnemünde an der Universität Rostock,"Marine Narratives: Environmental Change, Scientific Discourse, and Literary Representation in the Baltic Sea Region."
